feature,importance
arrival_hour,3579051914.97928
transport_UNKNOWN,3195855337.4153986
freq_TRIAGE,1753374371.889392
last_duration_min,1325444419.1825063
arrival_dow,984458216.6087357
triage_hr,863008659.043197
avg_duration_min,388973459.9645908
triage_sbp,317549537.577255
prefix_duration_min,271572424.60590667
std_duration_min,151387776.84706467
transport_WALK IN,142410202.5705556
triage_o2sat,106172989.07536748
transport_OTHER,99795610.82457104
last1_triage,81904419.62214778
last2_none,80559370.83698821
acuity,51043137.077210605
transport_AMBULANCE,40849025.6032238
freq_VITAL_SIGN_REASSESSMENT,26074480.320741124
last3_none,25617196.37689095
last2_triage,17499646.19914627
arrival_is_night,12574213.063222853
gender,12121681.42154467
freq_MEDICATION_DISPENSED,10339315.996387772
last1_vital_sign_reassessment,7098615.542686462
transport_HELICOPTER,3458840.8040454034
last3_vital_sign_reassessment,3111630.599597931
freq_MEDICATION_RECONCILIATION,1966210.5269213307
last1_ed_arrival,1837621.625930415
last1_medication_dispensed,831609.7505264282
last2_medication_dispensed,674862.3287582397
last1_medication_reconciliation,511571.9202003479
last3_triage,448316.70361328125
last2_medication_reconciliation,80201.8886809349
last2_vital_sign_reassessment,41742.54840803146
freq_ED_ARRIVAL,33795.02137315273
last3_medication_reconciliation,2394.843391418457
last3_medication_dispensed,918.9410095214844
last2_ed_arrival,0.0
last1_ed_end,0.0
freq_ED_END,0.0
last1_none,0.0
last2_ed_end,0.0
last3_ed_arrival,0.0
last3_ed_end,0.0
