feature,importance
acuity,76947741967.0
prefix_duration_min,68314385730.0
last_duration_min,55936661899.0
triage_sbp,43464172291.0
triage_hr,41981001467.0
arrival_hour,41608753706.0
freq_VITAL_SIGN_REASSESSMENT,26959760353.0
avg_duration_min,26599767404.0
transport_AMBULANCE,25442798231.0
std_duration_min,23719460373.0
triage_o2sat,20891114754.0
freq_MEDICATION_DISPENSED,19897399331.0
transport_UNKNOWN,17735283750.0
arrival_dow,15662809868.0
freq_MEDICATION_RECONCILIATION,12938435822.0
gender,5295342830.0
transport_WALK IN,4928908324.0
last1_vital_sign_reassessment,3984096236.0
last1_triage,2545454710.0
arrival_is_night,2282901950.0
last1_medication_reconciliation,1901375628.0
last2_triage,1821027178.0
transport_OTHER,1311542213.0
last2_vital_sign_reassessment,904313780.0
last1_medication_dispensed,834699257.0
last3_triage,470569310.0
transport_HELICOPTER,272551505.0
freq_TRIAGE,224844800.0
last2_medication_dispensed,193788266.0
last3_vital_sign_reassessment,175137470.0
last3_none,123625990.0
last2_medication_reconciliation,117407880.0
last3_medication_reconciliation,110343190.0
last3_medication_dispensed,102149240.0
last1_ed_arrival,30990500.0
freq_ED_ARRIVAL,0.0
last1_none,0.0
last2_ed_arrival,0.0
last1_ed_end,0.0
freq_ED_END,0.0
last3_ed_arrival,0.0
last2_none,0.0
last2_ed_end,0.0
last3_ed_end,0.0
